Date,rainfall.mm,Notes
1-Nov-14,0,
2-Nov-14,0,
3-Nov-14,0,
4-Nov-14,0,
5-Nov-14,0,
6-Nov-14,0,
7-Nov-14,0,
8-Nov-14,0,
9-Nov-14,0,
10-Nov-14,0,
11-Nov-14,0,
12-Nov-14,0,
13-Nov-14,0,
14-Nov-14,,
15-Nov-14,3.5,
16-Nov-14,2.5,
17-Nov-14,,
18-Nov-14,4,
19-Nov-14,0,
20-Nov-14,0,
21-Nov-14,0,
22-Nov-14,0,
23-Nov-14,0,
24-Nov-14,8,
25-Nov-14,0,
26-Nov-14,0,
27-Nov-14,0.5,
28-Nov-14,0,
29-Nov-14,0,
30-Nov-14,0,
1-Dec-14,0,
2-Dec-14,0,
3-Dec-14,0,
4-Dec-14,0,
5-Dec-14,0,
6-Dec-14,0,
7-Dec-14,0,
8-Dec-14,0,
9-Dec-14,0,
10-Dec-14,0,
11-Dec-14,0,
12-Dec-14,0,
13-Dec-14,0,
14-Dec-14,0,
15-Dec-14,0,
16-Dec-14,0,
17-Dec-14,0,
18-Dec-14,0,
19-Dec-14,0,
20-Dec-14,0,
21-Dec-14,0,
22-Dec-14,0,
23-Dec-14,0,
24-Dec-14,0,
25-Dec-14,0,
26-Dec-14,0,
27-Dec-14,0,
28-Dec-14,0,
29-Dec-14,0,
30-Dec-14,0,
31-Dec-14,0,
1-Jan-15,0,
2-Jan-15,0,
3-Jan-15,0,
4-Jan-15,0,
5-Jan-15,0,
6-Jan-15,0,
7-Jan-15,0,
8-Jan-15,0,
9-Jan-15,0,
10-Jan-15,0,
11-Jan-15,0,
12-Jan-15,0,
13-Jan-15,0,
14-Jan-15,0,
15-Jan-15,0,
16-Jan-15,0,
17-Jan-15,0,
18-Jan-15,0,
19-Jan-15,0,
20-Jan-15,0,
21-Jan-15,0,
22-Jan-15,0,
23-Jan-15,0,
24-Jan-15,0,
25-Jan-15,0,
26-Jan-15,0,
27-Jan-15,0,
28-Jan-15,0,
29-Jan-15,0,
30-Jan-15,0,
31-Jan-15,0,
1-Feb-15,0,
2-Feb-15,0,
3-Feb-15,0,
4-Feb-15,0,
5-Feb-15,0,
6-Feb-15,0,
7-Feb-15,0,
8-Feb-15,0,
9-Feb-15,0,
10-Feb-15,0,
11-Feb-15,0,
12-Feb-15,0,
13-Feb-15,0,
14-Feb-15,0,
15-Feb-15,0,
16-Feb-15,2,
17-Feb-15,0,
18-Feb-15,0,
19-Feb-15,0,
20-Feb-15,0,
21-Feb-15,0,
22-Feb-15,0,
23-Feb-15,0,
24-Feb-15,0,
25-Feb-15,0,
26-Feb-15,0,
27-Feb-15,0,
28-Feb-15,0,
1-Mar-15,0,
2-Mar-15,0,
3-Mar-15,0,
4-Mar-15,0,
5-Mar-15,0,
6-Mar-15,1.5,
7-Mar-15,0,
8-Mar-15,0,
9-Mar-15,0,
10-Mar-15,0,
11-Mar-15,0,
12-Mar-15,0,
13-Mar-15,0,
14-Mar-15,0,
15-Mar-15,0,
16-Mar-15,0,
17-Mar-15,0,
18-Mar-15,0.5,
19-Mar-15,0.5,
20-Mar-15,13,
21-Mar-15,1.8,
22-Mar-15,12.8,
23-Mar-15,14.5,
24-Mar-15,,
25-Mar-15,0,
26-Mar-15,0,
27-Mar-15,1.5,
28-Mar-15,,
29-Mar-15,3,
30-Mar-15,0,
31-Mar-15,0,
1-Apr-15,0,
2-Apr-15,0,
3-Apr-15,0,
4-Apr-15,0,
5-Apr-15,,
6-Apr-15,,
7-Apr-15,2.5,
8-Apr-15,0.5,
9-Apr-15,1,
10-Apr-15,0,
11-Apr-15,0,
12-Apr-15,,
13-Apr-15,4.5,
14-Apr-15,0,
15-Apr-15,0,
16-Apr-15,0,
17-Apr-15,0,
18-Apr-15,0,
19-Apr-15,0,
20-Apr-15,0,
21-Apr-15,0.5,
22-Apr-15,0,
23-Apr-15,0,
24-Apr-15,0,
25-Apr-15,0,
26-Apr-15,15,
27-Apr-15,3,
28-Apr-15,15,
29-Apr-15,0,
30-Apr-15,0,
1-May-15,0,
2-May-15,,
3-May-15,8,
4-May-15,33,
5-May-15,52,
6-May-15,6,
7-May-15,9.8,
8-May-15,,
9-May-15,,
10-May-15,3,
11-May-15,0.5,
12-May-15,0,
13-May-15,0.5,
14-May-15,0,
15-May-15,,
16-May-15,,
17-May-15,3,
18-May-15,1.5,
19-May-15,0.5,
20-May-15,0,
21-May-15,0,
22-May-15,1,
23-May-15,6.3,
24-May-15,,
25-May-15,27,
26-May-15,18,
27-May-15,,
28-May-15,,
29-May-15,,
30-May-15,26,
31-May-15,1.5,
1-Jun-15,,
2-Jun-15,15,
3-Jun-15,0,
4-Jun-15,0,
5-Jun-15,0,
6-Jun-15,0,
7-Jun-15,0,
8-Jun-15,0,
9-Jun-15,7,
10-Jun-15,9.3,
11-Jun-15,2.8,
12-Jun-15,,
13-Jun-15,,
14-Jun-15,,
15-Jun-15,,
16-Jun-15,31,cumulative rainfall
17-Jun-15,1.6,
18-Jun-15,14.9,
19-Jun-15,11.5,
20-Jun-15,16.5,
21-Jun-15,10,
22-Jun-15,3,
23-Jun-15,3.5,
24-Jun-15,0,
25-Jun-15,22.5,
26-Jun-15,,
27-Jun-15,,
28-Jun-15,,
29-Jun-15,56,cumulative rainfall
30-Jun-15,1.5,
1-Jul-15,5.5,
2-Jul-15,3,
3-Jul-15,,
4-Jul-15,5.5,
5-Jul-15,8,
6-Jul-15,1,
7-Jul-15,0,
8-Jul-15,10,
9-Jul-15,1.5,
10-Jul-15,,
11-Jul-15,6.9,cumulative rainfall
12-Jul-15,7.2,
13-Jul-15,7,
14-Jul-15,21,
15-Jul-15,1.2,
16-Jul-15,,
17-Jul-15,,
18-Jul-15,10.4,cumulative rainfall
19-Jul-15,2.4,
20-Jul-15,19,
21-Jul-15,11.5,
22-Jul-15,11,
23-Jul-15,6.2,
24-Jul-15,21.5,
25-Jul-15,6.4,
26-Jul-15,5.6,
27-Jul-15,19.5,
28-Jul-15,,
29-Jul-15,,
30-Jul-15,,
31-Jul-15,,
1-Aug-15,,
2-Aug-15,,
3-Aug-15,,
4-Aug-15,,
5-Aug-15,,
6-Aug-15,,
7-Aug-15,,
8-Aug-15,48.4,cumulative rainfall
9-Aug-15,2.8,
10-Aug-15,7.6,
11-Aug-15,2,
12-Aug-15,4.4,
13-Aug-15,0,
14-Aug-15,12.5,
15-Aug-15,5.2,
16-Aug-15,25,
17-Aug-15,14.5,
18-Aug-15,4.2,
19-Aug-15,3,
20-Aug-15,4,
21-Aug-15,16,
22-Aug-15,20,
23-Aug-15,6,
24-Aug-15,4.2,
25-Aug-15,46,
26-Aug-15,25.5,
27-Aug-15,17,
28-Aug-15,2.2,
29-Aug-15,,
30-Aug-15,11,cumulative rainfall
31-Aug-15,6.6,
1-Sep-15,4,
2-Sep-15,2.6,
3-Sep-15,8.8,
4-Sep-15,,
5-Sep-15,,
6-Sep-15,25,cumulative rainfall
7-Sep-15,26,
8-Sep-15,1.8,
9-Sep-15,20,
10-Sep-15,18.5,
11-Sep-15,,
12-Sep-15,5.6,cumulative rainfall
13-Sep-15,13.5,
14-Sep-15,15.5,
15-Sep-15,5.4,
16-Sep-15,0,
17-Sep-15,0,
18-Sep-15,1.8,
19-Sep-15,,
20-Sep-15,6.8,cumulative rainfall
21-Sep-15,2.4,
22-Sep-15,0,
23-Sep-15,2.2,
24-Sep-15,0,
25-Sep-15,0,
26-Sep-15,0,
27-Sep-15,,
28-Sep-15,,
29-Sep-15,47,cumulative rainfall
30-Sep-15,0,
1-Oct-15,0,
2-Oct-15,0,
3-Oct-15,0,
4-Oct-15,0,
5-Oct-15,0,
6-Oct-15,0,
7-Oct-15,0,
8-Oct-15,17,
9-Oct-15,3.4,
10-Oct-15,,
11-Oct-15,18.3,cumulative rainfall
12-Oct-15,8.2,
13-Oct-15,1.6,
14-Oct-15,0,
15-Oct-15,0,
16-Oct-15,0,
17-Oct-15,0,
18-Oct-15,0,
19-Oct-15,0,
20-Oct-15,0,
21-Oct-15,0.1,
22-Oct-15,1.2,
23-Oct-15,,
24-Oct-15,,
25-Oct-15,0.8,cumulative rainfall
26-Oct-15,11,
27-Oct-15,1.2,
28-Oct-15,1.4,
29-Oct-15,15.5,
30-Oct-15,3,
31-Oct-15,1.8,
1-Nov-15,4,
2-Nov-15,1.4,
3-Nov-15,0,
4-Nov-15,24.5,
5-Nov-15,24.5,
6-Nov-15,22.5,
7-Nov-15,,
8-Nov-15,36,
9-Nov-15,3.6,
10-Nov-15,7.2,
11-Nov-15,1.4,
12-Nov-15,2.4,
13-Nov-15,0,
14-Nov-15,0,
15-Nov-15,0,
16-Nov-15,0,
17-Nov-15,17.5,
18-Nov-15,28,
19-Nov-15,0,
20-Nov-15,0,
21-Nov-15,0,
22-Nov-15,0,
23-Nov-15,0,
24-Nov-15,0,
25-Nov-15,0,
26-Nov-15,0,
27-Nov-15,0,
28-Nov-15,0,
29-Nov-15,0,
30-Nov-15,0,
1-Dec-15,0,
2-Dec-15,0,
3-Dec-15,0,
4-Dec-15,0,
5-Dec-15,0,
6-Dec-15,8.5,
7-Dec-15,0.9,
8-Dec-15,0,
9-Dec-15,2.2,
10-Dec-15,0.7,
11-Dec-15,0,
12-Dec-15,0,
13-Dec-15,0,
14-Dec-15,0,
15-Dec-15,0,
16-Dec-15,0,
17-Dec-15,6.2,
18-Dec-15,3.2,
19-Dec-15,4.6,
20-Dec-15,1.8,
21-Dec-15,0.5,
22-Dec-15,0,
23-Dec-15,0,
24-Dec-15,0,
25-Dec-15,1.4,
26-Dec-15,,
27-Dec-15,6.4,cumulative rainfall
28-Dec-15,0,
29-Dec-15,0.8,
30-Dec-15,0.5,
31-Dec-15,0,
1-Jan-16,0,
2-Jan-16,0,
3-Jan-16,0,
4-Jan-16,0,
5-Jan-16,0,
6-Jan-16,0,
7-Jan-16,0,
8-Jan-16,0,
9-Jan-16,0,
10-Jan-16,0,
11-Jan-16,0,
12-Jan-16,0,
13-Jan-16,0,
14-Jan-16,0,
15-Jan-16,0,
16-Jan-16,0,
17-Jan-16,0,
18-Jan-16,0,
19-Jan-16,0,
20-Jan-16,0,
21-Jan-16,0,
22-Jan-16,0,
23-Jan-16,0,
24-Jan-16,0,
25-Jan-16,0,
26-Jan-16,0,
27-Jan-16,0,
28-Jan-16,0,
29-Jan-16,0,
30-Jan-16,0,
31-Jan-16,0,
